Field #,Common Name,Band #,Year,Month,Day,Age,Sex,Breeding,Stage,Capture code,Blood,Feathers,Carcass,Country code,State,City/Town,Area/Reserve,Station,Lat,Lon,Contact,Field Notes,Location Code,MAPS Code,Observer
03N3879,Common Yellowthroat,225064127,2003,JUL,1,A,M,Yes,Breeding,N,,Y,,US,AK,Beaver Creek,,Chisana River,62.68,-141.26,JULIAN WOOD,,TNWR,CHIS,
11N2706,Common Yellowthroat,259060117,2011,May,11,S,M,Yes,Breeding,N,N,Y,,US,,Yakutat,,,60.19,-141.19,Belinda Lopez,,NOLF,NOLF,
11N2713,Common Yellowthroat,192024298,2011,May,2,O,M,Yes,Breeding,N,N,Y,,US,,Yakutat,,,60.19,-141.19,Belinda Lopez,,NOLF,NOLF,
11N2714,Common Yellowthroat,192024299,2011,May,2,S,M,Yes,Breeding,N,N,Y,,US,,Yakutat,,,60.19,-141.19,Belinda Lopez,,NOLF,NOLF,
11N2724,Common Yellowthroat,259060107,2011,May,2,S,F,Yes,Breeding,N,N,Y,,US,,Yakutat,,,60.19,-141.19,Belinda Lopez,,NOLF,NOLF,
11N2726,Common Yellowthroat,240084850,2011,May,2,O,F,Yes,Breeding,R,N,Y,,US,,Yakutat,,,60.19,-141.19,Belinda Lopez,,NOLF,NOLF,
11N2727,Common Yellowthroat,259060110,2011,May,2,O,F,Yes,Breeding,N,N,Y,,US,,Yakutat,,,60.19,-141.19,Belinda Lopez,,NOLF,NOLF,
11N2728,Common Yellowthroat,192024259,2011,May,2,O,M,Yes,Breeding,R,N,Y,,US,,Yakutat,,,60.19,-141.19,Belinda Lopez,,NOLF,NOLF,
11N2730,Common Yellowthroat,240084850,2011,May,11,O,F,Yes,Breeding,R,N,Y,,US,,Yakutat,,,60.19,-141.19,Belinda Lopez,,NOLF,NOLF,
11N2731,Common Yellowthroat,259060131,2011,May,11,O,M,Yes,Breeding,N,N,Y,,US,,Yakutat,,,60.19,-141.19,Belinda Lopez,,NOLF,NOLF,
11N2732,Common Yellowthroat,259060129,2011,May,11,O,M,Yes,Breeding,N,N,Y,,US,,Yakutat,,,60.19,-141.19,Belinda Lopez,,NOLF,NOLF,
11N2736,Common Yellowthroat,259060124,2011,May,11,O,F,Yes,Breeding,N,N,Y,,US,,Yakutat,,,60.19,-141.19,Belinda Lopez,,NOLF,NOLF,
